Id,Age,Gender,Marital_Status,Owns_Home,Number_of_Children_under_18_years_of_age
325,69,M,M,Y,1
326,28,F,S,N,0
327,66,M,M,Y,0
328,38,M,D,N,2
329,69,M,M,N,2
330,57,F,M,Y,0
331,36,M,S,Y,0
332,34,F,M,N,1
333,26,M,S,N,0
334,26,F,M,N,0
335,51,M,M,Y,3
336,26,F,S,N,0
337,36,F,M,N,1
338,19,M,M,N,0
339,38,F,S,N,0
340,43,M,M,Y,0
341,61,F,S,Y,0
342,29,F,D,Y,4
343,66,F,M,Y,0
344,36,F,M,Y,0
345,63,M,M,Y,1
346,43,M,M,Y,1
347,60,M,M,Y,1
348,81,M,S,Y,0
349,38,M,S,Y,0
350,49,F,M,Y,2
351,45,F,M,N,0
352,61,F,S,N,0
353,64,M,S,Y,0
354,46,M,S,Y,0
355,25,F,S,Y,0
356,69,M,M,Y,0
357,57,M,S,N,0
358,26,M,M,N,0
359,38,F,S,Y,0
360,48,M,S,N,0
361,73,F,M,N,0
362,41,M,S,Y,0
363,78,F,D,N,1
364,44,F,S,N,0
365,45,M,S,Y,0
366,46,M,M,N,0
367,69,M,M,N,0
368,33,F,D,N,3
369,32,M,S,N,0
370,29,F,D,N,1
371,61,F,M,Y,0
372,69,M,S,Y,0
373,25,M,S,N,0
374,43,F,S,N,0
375,35,F,S,N,0
376,26,M,S,N,0
377,39,M,S,N,0
378,31,F,M,N,0
379,44,F,M,N,0
380,59,M,M,Y,0
381,47,M,M,Y,0
382,88,F,S,Y,0
383,50,F,M,Y,0
384,54,M,M,Y,0
385,27,F,S,N,0
386,33,F,S,N,0
387,27,F,D,Y,1
388,50,F,S,Y,0
389,62,M,M,Y,0
390,81,F,S,Y,0
391,27,F,S,Y,0
392,40,M,M,Y,0
393,32,F,S,N,0
394,63,F,M,Y,0
395,64,M,M,Y,0
396,36,M,S,Y,0
397,31,F,M,N,0
398,57,M,M,Y,0
399,46,M,M,Y,2
400,61,M,D,Y,1
401,36,F,M,Y,2
402,33,M,M,Y,1
403,22,F,S,N,0
404,45,F,M,Y,3
405,40,F,S,N,0
406,57,F,M,Y,0
407,80,M,S,N,0
408,29,M,M,Y,0
409,51,F,D,Y,3
410,49,M,M,Y,0
411,23,F,S,Y,0
412,47,M,M,Y,0
413,39,F,M,Y,3
414,39,F,M,N,1
415,21,F,S,N,0
416,25,M,M,N,0
417,39,M,S,Y,0
418,47,M,M,Y,2
419,54,M,M,Y,0
420,59,F,S,Y,0
421,46,F,M,N,0
422,37,F,D,Y,1
423,56,F,S,Y,0
424,25,F,S,N,0
425,33,F,S,N,0
426,37,M,S,N,0
427,50,F,D,N,1
428,59,F,S,N,0
429,47,F,S,Y,0
430,36,M,S,Y,0
431,37,M,M,Y,0
432,30,F,D,Y,1
433,65,M,S,Y,0
434,66,M,M,Y,0
435,59,F,S,Y,0
436,23,M,S,N,0
437,75,M,S,N,0
438,44,F,M,Y,2
439,56,M,M,Y,1
440,49,F,S,Y,0
441,70,M,M,Y,0
442,30,F,S,Y,0
443,64,F,S,Y,0
444,31,M,M,N,2
445,64,F,M,Y,0
446,37,F,S,N,0
447,59,M,S,Y,0
448,33,F,S,N,0
449,51,F,M,N,0
450,40,F,S,N,0
451,35,F,D,N,1
452,48,F,M,N,0
453,33,M,S,N,0
454,77,F,S,N,0
455,48,F,D,Y,4
456,39,F,M,N,1
457,62,M,M,N,2
458,79,F,D,Y,1
459,59,F,S,N,0
460,19,M,S,N,0
461,76,F,S,Y,0
462,25,F,S,N,0
463,53,F,M,Y,0
464,60,M,S,N,0
465,37,M,M,Y,0
466,40,F,M,Y,0
467,34,M,M,N,1
468,44,F,M,N,1
469,63,M,S,Y,0
470,35,F,M,Y,0
471,49,M,S,N,0
472,60,M,M,Y,1
473,42,M,M,Y,1
474,56,M,M,Y,1
475,61,F,M,Y,0
476,57,M,M,Y,1
477,27,M,M,N,0
478,72,M,M,Y,0
479,31,M,M,Y,0
480,59,F,S,N,0
481,38,F,M,Y,1
482,59,M,M,Y,0
483,33,F,S,Y,0
484,37,M,D,Y,1
485,35,F,M,Y,2
486,22,F,S,N,0
487,66,F,S,Y,0
488,45,M,M,N,0
489,39,F,M,Y,0
490,73,M,S,Y,0
491,79,M,S,Y,0
492,58,M,M,Y,0
493,66,M,M,Y,0
494,68,M,M,Y,0
495,44,M,M,N,0
496,60,M,M,Y,0
497,61,M,M,Y,1
498,63,F,M,Y,3
499,41,F,D,N,1
500,63,M,M,Y,1
501,62,F,M,Y,0
502,19,F,M,Y,1
503,28,M,S,Y,0
504,57,M,S,Y,0
505,23,F,D,Y,1
506,70,M,M,Y,0
507,46,F,S,Y,0
508,43,M,M,Y,0
509,30,F,S,N,0
510,76,F,M,Y,0
511,47,F,M,Y,1
512,61,F,S,N,0
513,55,M,M,Y,0
514,64,M,M,Y,0
515,22,F,S,N,0
516,42,M,S,N,0
517,57,F,M,Y,0
518,49,F,S,N,0
519,70,M,S,N,0
520,25,F,S,N,0
521,82,M,M,N,0
522,26,M,S,Y,0
523,40,F,S,N,0
524,26,F,S,N,0
525,51,M,M,Y,0
526,57,M,S,N,0
527,31,F,D,N,1
528,45,M,D,N,1
529,57,M,S,N,0
530,65,M,S,Y,0
531,54,M,M,Y,0
532,60,M,S,N,0
533,22,F,S,Y,0
534,69,M,M,Y,0
535,42,F,S,N,0
536,59,M,M,Y,2
537,55,M,M,Y,2
538,24,F,S,Y,0
539,63,M,M,Y,0
540,45,M,M,N,2
541,31,F,M,N,0
542,58,F,S,N,0
543,49,F,M,Y,1
544,68,M,M,Y,0
545,55,M,M,Y,0
546,61,F,M,Y,0
547,72,M,M,Y,1
548,62,F,S,N,0
549,56,M,S,Y,0
550,68,F,S,N,0
551,77,M,M,N,0
552,42,M,S,N,0
553,67,M,M,N,0
554,61,M,M,Y,0
555,71,M,S,Y,0
556,45,F,M,Y,4
557,44,F,S,N,0
558,22,M,S,Y,0
559,62,F,M,Y,0
560,49,M,M,Y,3
561,27,F,S,Y,0
562,64,F,M,Y,0
563,27,F,S,Y,0
564,60,M,M,Y,1
565,45,F,M,Y,1
566,93,M,M,Y,0
567,48,M,M,Y,0
